entry,at,order
"""Scott @ Ce3DFmEur5"" folds",2020-11-11T21:46:39.130Z,160513119913100
"""Michael @ Fer4N75h9y"" posts a big blind of 0.10",2020-11-11T21:46:24.766Z,160513118476706
"""Dr Hurst @ b7rmnGbpoR"" posts a small blind of 0.05",2020-11-11T21:46:24.766Z,160513118476705
"Your hand is 3♦, A♥",2020-11-11T21:46:24.766Z,160513118476702
"Player stacks: #1 ""Scott @ Ce3DFmEur5"" (1.49) | #7 ""Dr Hurst @ b7rmnGbpoR"" (4.60) | #9 ""Michael @ Fer4N75h9y"" (4.41)",2020-11-11T21:46:24.766Z,160513118476701
"-- starting hand #93  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2020-11-11T21:46:24.766Z,160513118476700
"-- ending hand #92 --",2020-11-11T21:46:21.853Z,160513118185401
"""Dr Hurst @ b7rmnGbpoR"" collected 0.20 from pot",2020-11-11T21:46:21.853Z,160513118185400
"""Scott @ Ce3DFmEur5"" folds",2020-11-11T21:46:21.038Z,160513118103900
"river: 2♦, A♥, 3♣, 3♦ [6♣]",2020-11-11T21:46:04.529Z,160513116453500
"""Dr Hurst @ b7rmnGbpoR"" checks",2020-11-11T21:46:03.721Z,160513116372200
"""Scott @ Ce3DFmEur5"" checks",2020-11-11T21:46:02.351Z,160513116235200
"turn: 2♦, A♥, 3♣ [3♦]",2020-11-11T21:45:52.330Z,160513115233100
"""Dr Hurst @ b7rmnGbpoR"" checks",2020-11-11T21:45:51.523Z,160513115152400
"""Scott @ Ce3DFmEur5"" checks",2020-11-11T21:45:48.020Z,160513114802000
"flop:  [2♦, A♥, 3♣]",2020-11-11T21:45:42.664Z,160513114266500
"""Dr Hurst @ b7rmnGbpoR"" checks",2020-11-11T21:45:41.858Z,160513114186000
"""Scott @ Ce3DFmEur5"" calls 0.10",2020-11-11T21:45:40.945Z,160513114094600
"""Michael @ Fer4N75h9y"" folds",2020-11-11T21:45:35.849Z,160513113585000
"""Dr Hurst @ b7rmnGbpoR"" posts a big blind of 0.10",2020-11-11T21:45:21.853Z,160513112185306
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.05",2020-11-11T21:45:21.853Z,160513112185305
"Your hand is K♥, 10♠",2020-11-11T21:45:21.853Z,160513112185302
"Player stacks: #1 ""Scott @ Ce3DFmEur5"" (1.59) | #7 ""Dr Hurst @ b7rmnGbpoR"" (4.50) | #9 ""Michael @ Fer4N75h9y"" (4.41)",2020-11-11T21:45:21.853Z,160513112185301
"-- starting hand #92  (No Limit Texas Hold'em) (dealer: ""Michael @ Fer4N75h9y"") --",2020-11-11T21:45:21.853Z,160513112185300
"-- ending hand #91 --",2020-11-11T21:45:18.942Z,160513111894302
"""Scott @ Ce3DFmEur5"" collected 0.70 from pot",2020-11-11T21:45:18.942Z,160513111894301
"Uncalled bet of 0.89 returned to ""Scott @ Ce3DFmEur5""",2020-11-11T21:45:18.942Z,160513111894300
"""Michael @ Fer4N75h9y"" folds",2020-11-11T21:45:18.137Z,160513111813800
"""Scott @ Ce3DFmEur5"" bets 0.89 and go all in",2020-11-11T21:45:06.312Z,160513110631300
"""Michael @ Fer4N75h9y"" checks",2020-11-11T21:45:01.307Z,160513110131100
"river: A♠, 7♥, 7♣, J♠ [4♣]",2020-11-11T21:44:59.350Z,160513109935300
"""Dr Hurst @ b7rmnGbpoR"" folds",2020-11-11T21:44:58.544Z,160513109854500
"""Scott @ Ce3DFmEur5"" calls 0.20",2020-11-11T21:44:55.894Z,160513109589500
"""Michael @ Fer4N75h9y"" bets 0.20",2020-11-11T21:44:49.610Z,160513108961000
"turn: A♠, 7♥, 7♣ [J♠]",2020-11-11T21:44:44.921Z,160513108492200
"""Dr Hurst @ b7rmnGbpoR"" checks",2020-11-11T21:44:44.114Z,160513108411500
"""Scott @ Ce3DFmEur5"" checks",2020-11-11T21:44:37.313Z,160513107731400
"""Michael @ Fer4N75h9y"" checks",2020-11-11T21:44:36.383Z,160513107638400
"flop:  [A♠, 7♥, 7♣]",2020-11-11T21:44:33.788Z,160513107378900
"""Scott @ Ce3DFmEur5"" checks",2020-11-11T21:44:32.983Z,160513107298300
"""Michael @ Fer4N75h9y"" calls 0.10",2020-11-11T21:44:30.261Z,160513107026200
"""Dr Hurst @ b7rmnGbpoR"" calls 0.10",2020-11-11T21:44:28.774Z,160513106877500
