entry,at,order
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.10",2020-12-29T21:46:12.269Z,160927837227106
"""Michael @ Fer4N75h9y"" posts a small blind of 0.05",2020-12-29T21:46:12.269Z,160927837227105
"Your hand is 8♥, 9♥",2020-12-29T21:46:12.269Z,160927837227103
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (9.05) | #3 ""Scott @ Ce3DFmEur5"" (12.20) | #10 ""Kris @ TIkYUKGupO"" (18.75)",2020-12-29T21:46:12.269Z,160927837227101
"-- starting hand #80  (No Limit Texas Hold'em) (dealer: ""Kris @ TIkYUKGupO"") --",2020-12-29T21:46:12.269Z,160927837227100
"""Kris @ TIkYUKGupO"" shows a 2♠, 3♦.",2020-12-29T21:46:07.812Z,160927836781300
"-- ending hand #79 --",2020-12-29T21:46:05.637Z,160927836563802
"""Kris @ TIkYUKGupO"" collected 0.20 from pot",2020-12-29T21:46:05.637Z,160927836563801
"Uncalled bet of 0.10 returned to ""Kris @ TIkYUKGupO""",2020-12-29T21:46:05.637Z,160927836563800
"""Michael @ Fer4N75h9y"" folds",2020-12-29T21:46:04.812Z,160927836481800
"""Kris @ TIkYUKGupO"" bets 0.10",2020-12-29T21:45:58.731Z,160927835873300
"Flop:  [3♣, J♣, Q♥]",2020-12-29T21:45:54.472Z,160927835447300
"""Michael @ Fer4N75h9y"" checks",2020-12-29T21:45:53.661Z,160927835366200
"""Kris @ TIkYUKGupO"" calls 0.10",2020-12-29T21:45:49.921Z,160927834992200
"""Scott @ Ce3DFmEur5"" folds",2020-12-29T21:45:46.350Z,160927834635100
"""Michael @ Fer4N75h9y"" posts a big blind of 0.10",2020-12-29T21:45:34.702Z,160927833470406
"""Kris @ TIkYUKGupO"" posts a small blind of 0.05",2020-12-29T21:45:34.702Z,160927833470405
"Your hand is 9♣, A♠",2020-12-29T21:45:34.702Z,160927833470403
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (9.15) | #3 ""Scott @ Ce3DFmEur5"" (12.20) | #10 ""Kris @ TIkYUKGupO"" (18.65)",2020-12-29T21:45:34.702Z,160927833470401
"-- starting hand #79  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2020-12-29T21:45:34.702Z,160927833470400
"Undealt cards: K♠, 8♦, 9♠, 10♣ [J♦]",2020-12-29T21:45:30.378Z,160927833037900
"-- ending hand #78 --",2020-12-29T21:45:28.789Z,160927832879002
"""Michael @ Fer4N75h9y"" collected 0.90 from pot",2020-12-29T21:45:28.789Z,160927832879001
"Uncalled bet of 0.50 returned to ""Michael @ Fer4N75h9y""",2020-12-29T21:45:28.789Z,160927832879000
"""Kris @ TIkYUKGupO"" folds",2020-12-29T21:45:27.983Z,160927832798400
"""Michael @ Fer4N75h9y"" bets 0.50",2020-12-29T21:45:22.223Z,160927832222400
"""Kris @ TIkYUKGupO"" checks",2020-12-29T21:45:17.990Z,160927831799100
"Turn: K♠, 8♦, 9♠ [10♣]",2020-12-29T21:45:14.661Z,160927831466300
"""Kris @ TIkYUKGupO"" calls 0.30",2020-12-29T21:45:13.839Z,160927831384000
"""Scott @ Ce3DFmEur5"" folds",2020-12-29T21:45:00.805Z,160927830080600
"""Michael @ Fer4N75h9y"" bets 0.30",2020-12-29T21:44:57.382Z,160927829738300
"""Kris @ TIkYUKGupO"" checks",2020-12-29T21:44:53.349Z,160927829334900
"""Scott @ Ce3DFmEur5"" checks",2020-12-29T21:44:45.936Z,160927828593700
"Flop:  [K♠, 8♦, 9♠]",2020-12-29T21:44:42.772Z,160927828277300
"""Kris @ TIkYUKGupO"" checks",2020-12-29T21:44:41.963Z,160927828196400
"""Scott @ Ce3DFmEur5"" calls 0.10",2020-12-29T21:44:39.363Z,160927827936300
"""Michael @ Fer4N75h9y"" calls 0.10",2020-12-29T21:44:38.082Z,160927827808300
