entry,at,order
"""Scott @ Ce3DFmEur5"" shows a 4♥, 10♣.",2021-01-21T21:30:44.250Z,161126464425100
"Undealt cards: 4♠, A♠, 8♦ [4♦, K♣]",2021-01-21T21:30:41.347Z,161126464135500
"-- ending hand #69 --",2021-01-21T21:30:40.064Z,161126464006502
"""Dr. Hurst @ b7rmnGbpoR"" collected 0.12 from pot",2021-01-21T21:30:40.064Z,161126464006501
"Uncalled bet of 0.08 returned to ""Dr. Hurst @ b7rmnGbpoR""",2021-01-21T21:30:40.064Z,161126464006500
"""Scott @ Ce3DFmEur5"" folds",2021-01-21T21:30:39.254Z,161126463925500
"""Kris @ jCNUAsR8-Z"" folds",2021-01-21T21:30:37.950Z,161126463795100
"""Dr. Hurst @ b7rmnGbpoR"" bets 0.08",2021-01-21T21:30:32.636Z,161126463263600
"Flop:  [4♠, A♠, 8♦]",2021-01-21T21:30:24.480Z,161126462448100
"""Kris @ jCNUAsR8-Z"" checks",2021-01-21T21:30:23.673Z,161126462367400
"""Dr. Hurst @ b7rmnGbpoR"" calls 0.04",2021-01-21T21:30:18.774Z,161126461877500
"""Scott @ Ce3DFmEur5"" calls 0.04",2021-01-21T21:30:16.923Z,161126461692300
"""Kris @ jCNUAsR8-Z"" posts a big blind of 0.04",2021-01-21T21:30:07.265Z,161126460726606
"""Dr. Hurst @ b7rmnGbpoR"" posts a small blind of 0.02",2021-01-21T21:30:07.265Z,161126460726605
"Your hand is 4♥, 10♣",2021-01-21T21:30:07.265Z,161126460726602
"Player stacks: #3 ""Scott @ Ce3DFmEur5"" (5.54) | #4 ""Dr. Hurst @ b7rmnGbpoR"" (5.10) | #6 ""Kris @ jCNUAsR8-Z"" (9.36)",2021-01-21T21:30:07.265Z,161126460726601
"-- starting hand #69  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-01-21T21:30:07.265Z,161126460726600
"-- ending hand #68 --",2021-01-21T21:30:04.346Z,161126460434802
"""Dr. Hurst @ b7rmnGbpoR"" collected 0.16 from pot",2021-01-21T21:30:04.346Z,161126460434801
"Uncalled bet of 0.04 returned to ""Dr. Hurst @ b7rmnGbpoR""",2021-01-21T21:30:04.346Z,161126460434800
"""Scott @ Ce3DFmEur5"" folds",2021-01-21T21:30:03.514Z,161126460351500
