entry,at,order
"""Michael @ Fer4N75h9y"" posts a big blind of 0.04",2021-01-07T21:45:53.383Z,161005595338406
"""kris @ _X6Ys281E0"" posts a small blind of 0.02",2021-01-07T21:45:53.383Z,161005595338405
"Your hand is 2♠, 4♦",2021-01-07T21:45:53.383Z,161005595338403
"Player stacks: #2 ""Michael @ Fer4N75h9y"" (4.41) | #9 ""Scott @ Ce3DFmEur5"" (6.60) | #10 ""kris @ _X6Ys281E0"" (4.99)",2021-01-07T21:45:53.383Z,161005595338401
"-- starting hand #88  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-01-07T21:45:53.383Z,161005595338400
"""Scott @ Ce3DFmEur5"" shows a 10♣, A♦.",2021-01-07T21:45:51.277Z,161005595127800
"""Michael @ Fer4N75h9y"" shows a 3♥, 8♥.",2021-01-07T21:45:50.698Z,161005595069800
"-- ending hand #87 --",2021-01-07T21:45:49.050Z,161005594905102
"""Scott @ Ce3DFmEur5"" collected 0.20 from pot",2021-01-07T21:45:49.050Z,161005594905101
"Uncalled bet of 0.04 returned to ""Scott @ Ce3DFmEur5""",2021-01-07T21:45:49.050Z,161005594905100
"""kris @ _X6Ys281E0"" folds",2021-01-07T21:45:48.241Z,161005594824200
"""Scott @ Ce3DFmEur5"" bets 0.04",2021-01-07T21:45:38.782Z,161005593878200
"River: 5♦, 7♥, 2♦, 5♠ [Q♦]",2021-01-07T21:45:33.377Z,161005593338100
"""Michael @ Fer4N75h9y"" folds",2021-01-07T21:45:32.569Z,161005593257000
"""kris @ _X6Ys281E0"" calls 0.04",2021-01-07T21:45:31.164Z,161005593116500
"""Scott @ Ce3DFmEur5"" bets 0.04",2021-01-07T21:45:29.440Z,161005592944100
"Turn: 5♦, 7♥, 2♦ [5♠]",2021-01-07T21:45:25.243Z,161005592524500
"""Michael @ Fer4N75h9y"" checks",2021-01-07T21:45:24.438Z,161005592443900
"""kris @ _X6Ys281E0"" checks",2021-01-07T21:45:22.253Z,161005592225400
"""Scott @ Ce3DFmEur5"" checks",2021-01-07T21:45:16.916Z,161005591691600
"Flop:  [5♦, 7♥, 2♦]",2021-01-07T21:45:14.261Z,161005591426300
"""kris @ _X6Ys281E0"" checks",2021-01-07T21:45:13.454Z,161005591345500
"""Scott @ Ce3DFmEur5"" calls 0.04",2021-01-07T21:45:11.380Z,161005591138100
"""Michael @ Fer4N75h9y"" calls 0.04",2021-01-07T21:45:07.974Z,161005590797500
"""kris @ _X6Ys281E0"" posts a big blind of 0.04",2021-01-07T21:45:04.497Z,161005590449806
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.02",2021-01-07T21:45:04.497Z,161005590449805
"Your hand is 10♣, A♦",2021-01-07T21:45:04.497Z,161005590449803
"Player stacks: #2 ""Michael @ Fer4N75h9y"" (4.45) | #9 ""Scott @ Ce3DFmEur5"" (6.48) | #10 ""kris @ _X6Ys281E0"" (5.07)",2021-01-07T21:45:04.497Z,161005590449801
"-- starting hand #87  (No Limit Texas Hold'em) (dealer: ""Michael @ Fer4N75h9y"") --",2021-01-07T21:45:04.497Z,161005590449800
"-- ending hand #86 --",2021-01-07T21:44:58.575Z,161005589857602
"""Michael @ Fer4N75h9y"" collected 0.28 from pot",2021-01-07T21:44:58.575Z,161005589857601
"Uncalled bet of 0.08 returned to ""Michael @ Fer4N75h9y""",2021-01-07T21:44:58.575Z,161005589857600
"""kris @ _X6Ys281E0"" folds",2021-01-07T21:44:57.770Z,161005589777100
"""Michael @ Fer4N75h9y"" bets 0.08",2021-01-07T21:44:55.571Z,161005589557200
"Turn: 7♦, A♣, Q♣ [9♠]",2021-01-07T21:44:51.914Z,161005589191600
"""kris @ _X6Ys281E0"" calls 0.04",2021-01-07T21:44:51.107Z,161005589110800
