entry,at,order
"""Kristo @ byVXgubSAR"" folds",2021-02-11T21:54:06.038Z,161308044603900
"""Dr Hurst @ b7rmnGbpoR"" posts a big blind of 0.10",2021-02-11T21:48:19.166Z,161308009917306
"""Kristo @ byVXgubSAR"" posts a small blind of 0.05",2021-02-11T21:48:19.166Z,161308009917305
"Player stacks: #4 ""Kristo @ byVXgubSAR"" (20.05) | #9 ""Dr Hurst @ b7rmnGbpoR"" (9.95)",2021-02-11T21:48:19.166Z,161308009917302
"-- starting hand #68  (No Limit Texas Hold'em) (dealer: ""Kristo @ byVXgubSAR"") --",2021-02-11T21:48:19.166Z,161308009917301
"The player ""Scott @ Ce3DFmEur5"" quits the game with a stack of 0.00.",2021-02-11T21:48:19.166Z,161308009917300
"-- ending hand #67 --",2021-02-11T21:48:13.130Z,161308009313104
"""Dr Hurst @ b7rmnGbpoR"" shows a A♦, 7♥.",2021-02-11T21:48:13.130Z,161308009313103
"""Scott @ Ce3DFmEur5"" shows a A♣, 4♠.",2021-02-11T21:48:13.130Z,161308009313102
"""Kristo @ byVXgubSAR"" collected 12.00 from pot with Flush, Qd High (combination: Q♦, 9♦, 7♦, 6♦, 5♦)",2021-02-11T21:48:13.130Z,161308009313101
"""Kristo @ byVXgubSAR"" shows a 9♦, 6♦.",2021-02-11T21:48:13.130Z,161308009313100
"""Kristo @ byVXgubSAR"" calls 3.70",2021-02-11T21:48:12.322Z,161308009232300
"""Dr Hurst @ b7rmnGbpoR"" calls 3.70",2021-02-11T21:48:09.518Z,161308008951900
"""Scott @ Ce3DFmEur5"" raises to 3.70 and go all in",2021-02-11T21:47:57.185Z,161308007718600
"""Kristo @ byVXgubSAR"" bets 0.20",2021-02-11T21:47:54.320Z,161308007432000
"River: 7♦, Q♦, 6♠, A♥ [5♦]",2021-02-11T21:47:45.493Z,161308006549700
"""Kristo @ byVXgubSAR"" calls 0.10",2021-02-11T21:47:44.680Z,161308006468100
"""Dr Hurst @ b7rmnGbpoR"" calls 0.10",2021-02-11T21:47:42.373Z,161308006237400
"""Scott @ Ce3DFmEur5"" bets 0.10",2021-02-11T21:47:38.447Z,161308005844800
"""Kristo @ byVXgubSAR"" checks",2021-02-11T21:47:32.124Z,161308005212500
"Turn: 7♦, Q♦, 6♠ [A♥]",2021-02-11T21:47:29.071Z,161308004907300
"""Dr Hurst @ b7rmnGbpoR"" calls 0.10",2021-02-11T21:47:28.260Z,161308004826100
"""Scott @ Ce3DFmEur5"" calls 0.10",2021-02-11T21:47:25.724Z,161308004572400
"""Kristo @ byVXgubSAR"" bets 0.10",2021-02-11T21:47:16.019Z,161308003602000
"Flop:  [7♦, Q♦, 6♠]",2021-02-11T21:47:10.880Z,161308003088100
"""Scott @ Ce3DFmEur5"" checks",2021-02-11T21:47:10.071Z,161308003007200
"""Kristo @ byVXgubSAR"" calls 0.10",2021-02-11T21:47:08.181Z,161308002818200
"""Dr Hurst @ b7rmnGbpoR"" calls 0.10",2021-02-11T21:47:04.793Z,161308002479400
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.10",2021-02-11T21:47:01.053Z,161308002105406
"""Kristo @ byVXgubSAR"" posts a small blind of 0.05",2021-02-11T21:47:01.053Z,161308002105405
