entry,at,order
"""Kristo @ DBZ11Jn9eX"" posts a big blind of 0.04",2020-12-10T21:47:27.015Z,160763684701707
"""Dr. Scott @ Ce3DFmEur5"" posts a small blind of 0.02",2020-12-10T21:47:27.015Z,160763684701706
"Your hand is 3♦, 7♦",2020-12-10T21:47:27.015Z,160763684701704
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (1.25) | #2 ""Dr Hurst @ b7rmnGbpoR"" (3.96) | #9 ""Dr. Scott @ Ce3DFmEur5"" (6.22) | #10 ""Kristo @ DBZ11Jn9eX"" (4.57)",2020-12-10T21:47:27.015Z,160763684701701
"-- starting hand #83  (No Limit Texas Hold'em) (dealer: ""Dr Hurst @ b7rmnGbpoR"") --",2020-12-10T21:47:27.015Z,160763684701700
"-- ending hand #82 --",2020-12-10T21:47:20.999Z,160763684100001
"""Dr. Scott @ Ce3DFmEur5"" collected 6.22 from pot with Two Pair, K's & J's (combination: K♦, K♠, J♥, J♠, Q♣)",2020-12-10T21:47:20.999Z,160763684100000
"river: 8♥, Q♣, 4♠, K♠ [J♠]",2020-12-10T21:47:17.978Z,160763683798200
"""Dr. Scott @ Ce3DFmEur5"" shows a J♥, K♦.",2020-12-10T21:47:14.967Z,160763683496801
"""Michael @ Fer4N75h9y"" shows a 4♥, Q♠.",2020-12-10T21:47:14.967Z,160763683496800
"""Michael @ Fer4N75h9y"" calls 2.55",2020-12-10T21:47:14.159Z,160763683416000
"""Dr. Scott @ Ce3DFmEur5"" raises to 2.55 and go all in",2020-12-10T21:47:10.016Z,160763683001700
"""Michael @ Fer4N75h9y"" bets 0.80",2020-12-10T21:47:04.381Z,160763682438200
"""Dr. Scott @ Ce3DFmEur5"" checks",2020-12-10T21:47:00.419Z,160763682042000
"turn: 8♥, Q♣, 4♠ [K♠]",2020-12-10T21:46:49.360Z,160763680936200
"""Kristo @ DBZ11Jn9eX"" folds",2020-12-10T21:46:48.549Z,160763680855000
"""Dr. Scott @ Ce3DFmEur5"" calls 0.46",2020-12-10T21:46:39.815Z,160763679981600
"""Dr Hurst @ b7rmnGbpoR"" folds",2020-12-10T21:46:25.879Z,160763678588000
"""Michael @ Fer4N75h9y"" raises to 0.46",2020-12-10T21:46:24.221Z,160763678422100
"""Kristo @ DBZ11Jn9eX"" bets 0.04",2020-12-10T21:46:16.720Z,160763677672400
"""Dr. Scott @ Ce3DFmEur5"" checks",2020-12-10T21:46:10.695Z,160763677069600
"""Dr Hurst @ b7rmnGbpoR"" checks",2020-12-10T21:46:07.371Z,160763676737200
"flop:  [8♥, Q♣, 4♠]",2020-12-10T21:46:00.694Z,160763676069500
"""Dr. Scott @ Ce3DFmEur5"" checks",2020-12-10T21:45:59.889Z,160763675989000
"""Dr Hurst @ b7rmnGbpoR"" calls 0.04",2020-12-10T21:45:55.625Z,160763675562600
