entry,at,order
"The player ""Krist @ ArCE1TvqMx"" quits the game with a stack of 0.00.",2021-02-04T21:39:53.447Z,161247479345601
"The player ""Dr Hurst @ b7rmnGbpoR"" quits the game with a stack of 0.00.",2021-02-04T21:39:53.447Z,161247479345600
"-- ending hand #69 --",2021-02-04T21:39:47.441Z,161247478744305
"""Krist @ ArCE1TvqMx"" shows a 2♥, 10♥.",2021-02-04T21:39:47.441Z,161247478744304
"""Dr Hurst @ b7rmnGbpoR"" shows a 7♠, 8♣.",2021-02-04T21:39:47.441Z,161247478744303
"""Scott @ Ce3DFmEur5"" collected 3.56 from pot with Straight, K High (combination: K♠, Q♠, J♣, 10♠, 9♠)",2021-02-04T21:39:47.441Z,161247478744302
"""Scott @ Ce3DFmEur5"" collected 9.06 from pot with Straight, K High (combination: K♠, Q♠, J♣, 10♠, 9♠)",2021-02-04T21:39:47.441Z,161247478744301
"""Scott @ Ce3DFmEur5"" shows a K♠, Q♠.",2021-02-04T21:39:47.441Z,161247478744300
"""Dr Hurst @ b7rmnGbpoR"" calls 1.78 and go all in",2021-02-04T21:39:46.636Z,161247478663700
"""Scott @ Ce3DFmEur5"" bets 1.78",2021-02-04T21:39:42.068Z,161247478206800
"River: J♣, 10♠, 9♠, 2♦ [5♣]",2021-02-04T21:39:33.842Z,161247477384400
"""Scott @ Ce3DFmEur5"" calls 2.82",2021-02-04T21:39:33.036Z,161247477303600
"""Dr Hurst @ b7rmnGbpoR"" calls 2.82",2021-02-04T21:39:31.011Z,161247477101100
"""Krist @ ArCE1TvqMx"" raises to 2.82 and go all in",2021-02-04T21:39:27.110Z,161247476711100
"""Scott @ Ce3DFmEur5"" raises to 0.30",2021-02-04T21:39:16.282Z,161247475628300
"""Dr Hurst @ b7rmnGbpoR"" calls 0.20",2021-02-04T21:39:13.013Z,161247475301400
"""Krist @ ArCE1TvqMx"" raises to 0.20",2021-02-04T21:39:09.454Z,161247474945500
"""Scott @ Ce3DFmEur5"" bets 0.10",2021-02-04T21:38:59.057Z,161247473905700
"Turn: J♣, 10♠, 9♠ [2♦]",2021-02-04T21:38:54.868Z,161247473487000
"""Dr Hurst @ b7rmnGbpoR"" calls 0.10",2021-02-04T21:38:54.061Z,161247473406200
"""Krist @ ArCE1TvqMx"" calls 0.10",2021-02-04T21:38:47.379Z,161247472738000
"""Scott @ Ce3DFmEur5"" bets 0.10",2021-02-04T21:38:43.393Z,161247472339400
"Flop:  [J♣, 10♠, 9♠]",2021-02-04T21:38:38.110Z,161247471811100
"""Krist @ ArCE1TvqMx"" checks",2021-02-04T21:38:37.291Z,161247471729200
"""Scott @ Ce3DFmEur5"" calls 0.10",2021-02-04T21:38:30.778Z,161247471077900
"""Dr Hurst @ b7rmnGbpoR"" calls 0.10",2021-02-04T21:38:25.740Z,161247470574100
"""Krist @ ArCE1TvqMx"" posts a big blind of 0.10",2021-02-04T21:38:22.235Z,161247470223606
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.05",2021-02-04T21:38:22.235Z,161247470223605
"Your hand is K♠, Q♠",2021-02-04T21:38:22.235Z,161247470223603
"Player stacks: #1 ""Dr Hurst @ b7rmnGbpoR"" (4.80) | #6 ""Scott @ Ce3DFmEur5"" (25.18) | #10 ""Krist @ ArCE1TvqMx"" (3.02)",2021-02-04T21:38:22.235Z,161247470223601
"-- starting hand #69  (No Limit Texas Hold'em) (dealer: ""Dr Hurst @ b7rmnGbpoR"") --",2021-02-04T21:38:22.235Z,161247470223600
"-- ending hand #68 --",2021-02-04T21:38:16.190Z,161247469619202
"""Krist @ ArCE1TvqMx"" collected 1.40 from pot with Two Pair, J's & 10's (combination: J♠, J♦, 10♦, 10♣, Q♠)",2021-02-04T21:38:16.190Z,161247469619201
"""Krist @ ArCE1TvqMx"" shows a 10♦, 10♣.",2021-02-04T21:38:16.190Z,161247469619200
"""Scott @ Ce3DFmEur5"" calls 0.30",2021-02-04T21:38:15.376Z,161247469537700
"""Krist @ ArCE1TvqMx"" bets 0.30",2021-02-04T21:38:08.917Z,161247468891900
"""Scott @ Ce3DFmEur5"" checks",2021-02-04T21:38:04.310Z,161247468431100
"River: J♠, Q♠, J♦, 8♦ [3♥]",2021-02-04T21:37:56.589Z,161247467659100
"""Krist @ ArCE1TvqMx"" checks",2021-02-04T21:37:55.783Z,161247467578500
"""Scott @ Ce3DFmEur5"" checks",2021-02-04T21:37:53.214Z,161247467321500
"Turn: J♠, Q♠, J♦ [8♦]",2021-02-04T21:37:50.631Z,161247467063300
"""Dr Hurst @ b7rmnGbpoR"" folds",2021-02-04T21:37:49.818Z,161247466981900
"""Krist @ ArCE1TvqMx"" calls 0.10",2021-02-04T21:37:45.145Z,161247466514600
"""Scott @ Ce3DFmEur5"" bets 0.10",2021-02-04T21:37:42.620Z,161247466262100
"""Dr Hurst @ b7rmnGbpoR"" checks",2021-02-04T21:37:39.092Z,161247465909300
"Flop:  [J♠, Q♠, J♦]",2021-02-04T21:37:32.818Z,161247465281900
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-04T21:37:32.011Z,161247465201200
"""Dr Hurst @ b7rmnGbpoR"" calls 0.20",2021-02-04T21:37:30.380Z,161247465038100
"""Krist @ ArCE1TvqMx"" raises to 0.20",2021-02-04T21:37:27.759Z,161247464776000
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.10",2021-02-04T21:37:23.198Z,161247464319906
"""Dr Hurst @ b7rmnGbpoR"" posts a small blind of 0.05",2021-02-04T21:37:23.198Z,161247464319905
"Your hand is A♠, 10♥",2021-02-04T21:37:23.198Z,161247464319903
"Player stacks: #1 ""Dr Hurst @ b7rmnGbpoR"" (5.00) | #6 ""Scott @ Ce3DFmEur5"" (25.78) | #10 ""Krist @ ArCE1TvqMx"" (2.22)",2021-02-04T21:37:23.198Z,161247464319901
"-- starting hand #68  (No Limit Texas Hold'em) (dealer: ""Krist @ ArCE1TvqMx"") --",2021-02-04T21:37:23.198Z,161247464319900
"-- ending hand #67 --",2021-02-04T21:37:20.263Z,161247464026402
"""Krist @ ArCE1TvqMx"" collected 0.20 from pot",2021-02-04T21:37:20.263Z,161247464026401
"Uncalled bet of 0.20 returned to ""Krist @ ArCE1TvqMx""",2021-02-04T21:37:20.263Z,161247464026400
"""Dr Hurst @ b7rmnGbpoR"" folds",2021-02-04T21:37:19.458Z,161247463945900
"""Krist @ ArCE1TvqMx"" bets 0.20",2021-02-04T21:37:17.573Z,161247463757400
"Flop:  [3♠, 10♣, 8♠]",2021-02-04T21:37:01.773Z,161247462177400
"""Dr Hurst @ b7rmnGbpoR"" checks",2021-02-04T21:37:00.969Z,161247462097000
"""Krist @ ArCE1TvqMx"" calls 0.10",2021-02-04T21:36:54.972Z,161247461497300
"""Scott @ Ce3DFmEur5"" folds",2021-02-04T21:36:45.696Z,161247460569700
"""Dr Hurst @ b7rmnGbpoR"" posts a big blind of 0.10",2021-02-04T21:36:37.682Z,161247459768406
"""Krist @ ArCE1TvqMx"" posts a small blind of 0.05",2021-02-04T21:36:37.682Z,161247459768405
"Your hand is 3♦, 9♣",2021-02-04T21:36:37.682Z,161247459768403
"Player stacks: #1 ""Dr Hurst @ b7rmnGbpoR"" (5.10) | #6 ""Scott @ Ce3DFmEur5"" (25.78) | #10 ""Krist @ ArCE1TvqMx"" (2.12)",2021-02-04T21:36:37.682Z,161247459768401
"-- starting hand #67  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-02-04T21:36:37.682Z,161247459768400
"-- ending hand #66 --",2021-02-04T21:36:31.664Z,161247459166602
"""Scott @ Ce3DFmEur5"" collected 6.90 from pot with Full House, J's over 3's (combination: J♥, J♠, J♣, 3♣, 3♥)",2021-02-04T21:36:31.664Z,161247459166601
"""Scott @ Ce3DFmEur5"" shows a J♥, J♠.",2021-02-04T21:36:31.664Z,161247459166600
