entry,at,order
"""Dr Hurst @ b7rmnGbpoR"" posts a big blind of 0.10",2021-03-11T21:47:29.669Z,161549924967006
"""Kristo @ SAKjf85MCl"" posts a small blind of 0.05",2021-03-11T21:47:29.669Z,161549924967005
"Your hand is K♠, 9♠",2021-03-11T21:47:29.669Z,161549924967003
"Player stacks: #5 ""Dr Hurst @ b7rmnGbpoR"" (10.40) | #7 ""Scott @ Ce3DFmEur5"" (11.45) | #10 ""Kristo @ SAKjf85MCl"" (8.15)",2021-03-11T21:47:29.669Z,161549924967001
"-- starting hand #70  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-03-11T21:47:29.669Z,161549924967000
"-- ending hand #69 --",2021-03-11T21:47:23.641Z,161549924364302
"""Dr Hurst @ b7rmnGbpoR"" collected 0.50 from pot with Flush, As High (combination: A♠, K♠, 6♠, 5♠, 2♠)",2021-03-11T21:47:23.641Z,161549924364301
"""Dr Hurst @ b7rmnGbpoR"" shows a Q♥, A♠.",2021-03-11T21:47:23.641Z,161549924364300
"""Kristo @ SAKjf85MCl"" folds",2021-03-11T21:47:22.836Z,161549924283700
"""Scott @ Ce3DFmEur5"" calls 0.10",2021-03-11T21:47:21.149Z,161549924115000
"""Dr Hurst @ b7rmnGbpoR"" bets 0.10",2021-03-11T21:47:13.585Z,161549923358600
"""Kristo @ SAKjf85MCl"" checks",2021-03-11T21:47:10.780Z,161549923078100
"""Scott @ Ce3DFmEur5"" checks",2021-03-11T21:47:09.356Z,161549922935700
"River: K♥, K♠, 5♠, 6♠ [2♠]",2021-03-11T21:47:05.454Z,161549922545700
"""Dr Hurst @ b7rmnGbpoR"" checks",2021-03-11T21:47:04.645Z,161549922464600
"""Kristo @ SAKjf85MCl"" checks",2021-03-11T21:47:02.347Z,161549922234800
"""Scott @ Ce3DFmEur5"" checks",2021-03-11T21:47:00.147Z,161549922014800
"Turn: K♥, K♠, 5♠ [6♠]",2021-03-11T21:46:55.708Z,161549921570900
"""Dr Hurst @ b7rmnGbpoR"" checks",2021-03-11T21:46:54.894Z,161549921489700
"""Kristo @ SAKjf85MCl"" checks",2021-03-11T21:46:50.961Z,161549921096200
"""Scott @ Ce3DFmEur5"" checks",2021-03-11T21:46:49.000Z,161549920900100
"Flop:  [K♥, K♠, 5♠]",2021-03-11T21:46:43.743Z,161549920374500
"""Kristo @ SAKjf85MCl"" checks",2021-03-11T21:46:42.928Z,161549920292900
"""Scott @ Ce3DFmEur5"" calls 0.10",2021-03-11T21:46:40.528Z,161549920052900
"""Dr Hurst @ b7rmnGbpoR"" calls 0.10",2021-03-11T21:46:38.409Z,161549919841000
"""Kristo @ SAKjf85MCl"" posts a big blind of 0.10",2021-03-11T21:46:34.691Z,161549919469206
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.05",2021-03-11T21:46:34.691Z,161549919469205
"Your hand is 10♥, 2♦",2021-03-11T21:46:34.691Z,161549919469203
"Player stacks: #5 ""Dr Hurst @ b7rmnGbpoR"" (10.10) | #7 ""Scott @ Ce3DFmEur5"" (11.65) | #10 ""Kristo @ SAKjf85MCl"" (8.25)",2021-03-11T21:46:34.691Z,161549919469201
"-- starting hand #69  (No Limit Texas Hold'em) (dealer: ""Dr Hurst @ b7rmnGbpoR"") --",2021-03-11T21:46:34.691Z,161549919469200
"-- ending hand #68 --",2021-03-11T21:46:28.661Z,161549918866503
"""Scott @ Ce3DFmEur5"" shows a 10♥, 2♦.",2021-03-11T21:46:28.661Z,161549918866502
"""Kristo @ SAKjf85MCl"" collected 0.25 from pot with Two Pair, J's & 7's (combination: J♦, J♣, 7♣, 7♦, A♥)",2021-03-11T21:46:28.661Z,161549918866501
"""Kristo @ SAKjf85MCl"" shows a A♥, 8♦.",2021-03-11T21:46:28.661Z,161549918866500
"""Kristo @ SAKjf85MCl"" checks",2021-03-11T21:46:27.850Z,161549918785000
"""Scott @ Ce3DFmEur5"" checks",2021-03-11T21:46:25.726Z,161549918572700
"River: J♦, J♣, 7♣, 7♦ [2♥]",2021-03-11T21:46:15.968Z,161549917597100
"""Kristo @ SAKjf85MCl"" checks",2021-03-11T21:46:15.157Z,161549917516100
"""Scott @ Ce3DFmEur5"" checks",2021-03-11T21:46:03.550Z,161549916355100
"Turn: J♦, J♣, 7♣ [7♦]",2021-03-11T21:45:56.037Z,161549915603800
"""Kristo @ SAKjf85MCl"" checks",2021-03-11T21:45:55.231Z,161549915523200
"""Scott @ Ce3DFmEur5"" checks",2021-03-11T21:45:31.728Z,161549913172900
"Flop:  [J♦, J♣, 7♣]",2021-03-11T21:45:28.190Z,161549912819200
"""Scott @ Ce3DFmEur5"" checks",2021-03-11T21:45:27.379Z,161549912738000
"""Dr Hurst @ b7rmnGbpoR"" folds",2021-03-11T21:45:10.477Z,161549911047800
"""Kristo @ SAKjf85MCl"" calls 0.10",2021-03-11T21:45:06.011Z,161549910601200
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.10",2021-03-11T21:45:02.931Z,161549910293206
