entry,at,order
"""Dr Scott @ Ce3DFmEur5"" posts a big blind of 0.10",2020-12-03T21:45:50.795Z,160703195079605
"""Michael @ Fer4N75h9y"" posts a small blind of 0.05",2020-12-03T21:45:50.795Z,160703195079604
"Your hand is 6♣, Q♦",2020-12-03T21:45:50.795Z,160703195079603
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (8.00) | #10 ""Dr Scott @ Ce3DFmEur5"" (6.00)",2020-12-03T21:45:50.795Z,160703195079601
"-- starting hand #101  (No Limit Texas Hold'em) (dealer: ""Michael @ Fer4N75h9y"") --",2020-12-03T21:45:50.795Z,160703195079600
"-- ending hand #100 --",2020-12-03T21:45:44.263Z,160703194426402
"""Michael @ Fer4N75h9y"" collected 0.20 from pot with A High (combination: A♠, Q♠, J♥, 9♣, 8♠)",2020-12-03T21:45:44.263Z,160703194426401
"""Michael @ Fer4N75h9y"" shows a Q♠, 9♣.",2020-12-03T21:45:44.263Z,160703194426400
"""Dr Scott @ Ce3DFmEur5"" checks",2020-12-03T21:45:43.455Z,160703194345500
"""Michael @ Fer4N75h9y"" checks",2020-12-03T21:45:42.098Z,160703194209900
"river: J♥, A♠, 2♥, 6♦ [8♠]",2020-12-03T21:45:40.067Z,160703194006900
"""Dr Scott @ Ce3DFmEur5"" checks",2020-12-03T21:45:39.262Z,160703193926200
"""Michael @ Fer4N75h9y"" checks",2020-12-03T21:45:37.757Z,160703193775800
"turn: J♥, A♠, 2♥ [6♦]",2020-12-03T21:45:36.473Z,160703193647400
"""Dr Scott @ Ce3DFmEur5"" checks",2020-12-03T21:45:35.664Z,160703193566500
"""Michael @ Fer4N75h9y"" checks",2020-12-03T21:45:33.689Z,160703193369200
"flop:  [J♥, A♠, 2♥]",2020-12-03T21:45:29.065Z,160703192906600
"""Michael @ Fer4N75h9y"" checks",2020-12-03T21:45:28.256Z,160703192825700
"""Dr Scott @ Ce3DFmEur5"" calls 0.10",2020-12-03T21:45:26.690Z,160703192669100
"""Michael @ Fer4N75h9y"" posts a big blind of 0.10",2020-12-03T21:45:21.059Z,160703192106306
"""Dr Scott @ Ce3DFmEur5"" posts a small blind of 0.05",2020-12-03T21:45:21.059Z,160703192106305
"Your hand is 3♦, 10♣",2020-12-03T21:45:21.059Z,160703192106304
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (7.90) | #10 ""Dr Scott @ Ce3DFmEur5"" (6.10)",2020-12-03T21:45:21.059Z,160703192106302
"-- starting hand #100  (No Limit Texas Hold'em) (dealer: ""Dr Scott @ Ce3DFmEur5"") --",2020-12-03T21:45:21.059Z,160703192106301
"The player ""Dr. Hurst @ b7rmnGbpoR"" quits the game with a stack of 0.00.",2020-12-03T21:45:21.059Z,160703192106300
"-- ending hand #99 --",2020-12-03T21:45:14.536Z,160703191453704
