entry,at,order
"""Kristo @ HZl0mGrMth"" posts a big blind of 0.10",2021-02-18T21:47:16.129Z,161368483613006
"""Dr Hurst @ b7rmnGbpoR"" posts a small blind of 0.05",2021-02-18T21:47:16.129Z,161368483613005
"Your hand is K♦, 5♦",2021-02-18T21:47:16.129Z,161368483613002
"Player stacks: #2 ""Scott @ Ce3DFmEur5"" (10.00) | #6 ""Dr Hurst @ b7rmnGbpoR"" (8.95) | #10 ""Kristo @ HZl0mGrMth"" (11.05)",2021-02-18T21:47:16.129Z,161368483613001
"-- starting hand #60  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-02-18T21:47:16.129Z,161368483613000
"-- ending hand #59 --",2021-02-18T21:47:10.091Z,161368483009302
"""Kristo @ HZl0mGrMth"" collected 0.50 from pot with Pair, 9's (combination: 9♠, 9♣, Q♣, J♥, 7♠)",2021-02-18T21:47:10.091Z,161368483009301
"""Kristo @ HZl0mGrMth"" shows a 6♥, 9♠.",2021-02-18T21:47:10.091Z,161368483009300
"""Dr Hurst @ b7rmnGbpoR"" calls 0.10",2021-02-18T21:47:09.265Z,161368482926600
"""Scott @ Ce3DFmEur5"" folds",2021-02-18T21:46:58.602Z,161368481860300
"""Kristo @ HZl0mGrMth"" bets 0.10",2021-02-18T21:46:56.762Z,161368481676300
"""Dr Hurst @ b7rmnGbpoR"" checks",2021-02-18T21:46:52.145Z,161368481214600
"""Scott @ Ce3DFmEur5"" checks",2021-02-18T21:46:40.851Z,161368480085200
"River: 4♦, 7♠, J♥, 9♣ [Q♣]",2021-02-18T21:46:38.687Z,161368479868900
"""Kristo @ HZl0mGrMth"" checks",2021-02-18T21:46:37.882Z,161368479788300
"""Dr Hurst @ b7rmnGbpoR"" checks",2021-02-18T21:46:35.633Z,161368479563500
"""Scott @ Ce3DFmEur5"" checks",2021-02-18T21:46:32.035Z,161368479203600
"Turn: 4♦, 7♠, J♥ [9♣]",2021-02-18T21:46:29.496Z,161368478949700
"""Kristo @ HZl0mGrMth"" checks",2021-02-18T21:46:28.685Z,161368478868600
