entry,at,order
"""Dr. Hurst @ b7rmnGbpoR"" posts a big blind of 0.04",2020-12-17T21:47:38.632Z,160824165863707
"""Michael @ Fer4N75h9y"" posts a small blind of 0.02",2020-12-17T21:47:38.632Z,160824165863706
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (5.32) | #2 ""Dr. Hurst @ b7rmnGbpoR"" (0.91) | #10 ""Kristo @ kcUm-oLUp-"" (9.77)",2020-12-17T21:47:38.632Z,160824165863702
"-- starting hand #80  (No Limit Texas Hold'em) (dealer: ""Kristo @ kcUm-oLUp-"") --",2020-12-17T21:47:38.632Z,160824165863701
"The player ""Scott @ Ce3DFmEur5"" quits the game with a stack of 0.00.",2020-12-17T21:47:38.632Z,160824165863700
"-- ending hand #79 --",2020-12-17T21:47:31.592Z,160824165159403
"""Scott @ Ce3DFmEur5"" shows a Q♠, 4♦.",2020-12-17T21:47:31.592Z,160824165159402
"""Kristo @ kcUm-oLUp-"" collected 9.22 from pot with Two Pair, A's & K's (combination: A♣, A♥, K♦, K♣, J♦)",2020-12-17T21:47:31.592Z,160824165159401
"""Kristo @ kcUm-oLUp-"" shows a A♣, K♦.",2020-12-17T21:47:31.592Z,160824165159400
"""Dr. Hurst @ b7rmnGbpoR"" calls 2.42",2020-12-17T21:47:30.785Z,160824165078600
"""Kristo @ kcUm-oLUp-"" calls 2.42",2020-12-17T21:47:26.848Z,160824164684900
"""Scott @ Ce3DFmEur5"" raises to 2.42 and go all in",2020-12-17T21:47:23.761Z,160824164376200
"""Dr. Hurst @ b7rmnGbpoR"" raises to 1.60",2020-12-17T21:47:20.998Z,160824164099900
"""Kristo @ kcUm-oLUp-"" bets 0.80",2020-12-17T21:47:09.644Z,160824162964500
"river: J♦, A♥, K♣, 8♥ [4♠]",2020-12-17T21:46:55.831Z,160824161583300
"""Scott @ Ce3DFmEur5"" calls 0.40",2020-12-17T21:46:55.024Z,160824161502500
"""Dr. Hurst @ b7rmnGbpoR"" calls 0.40",2020-12-17T21:46:49.876Z,160824160987700
"""Kristo @ kcUm-oLUp-"" bets 0.40",2020-12-17T21:46:46.066Z,160824160606600
"turn: J♦, A♥, K♣ [8♥]",2020-12-17T21:46:37.860Z,160824159786200
"""Scott @ Ce3DFmEur5"" calls 0.12",2020-12-17T21:46:37.053Z,160824159705400
"""Dr. Hurst @ b7rmnGbpoR"" calls 0.12",2020-12-17T21:46:35.742Z,160824159574300
"""Kristo @ kcUm-oLUp-"" bets 0.12",2020-12-17T21:46:33.512Z,160824159351200
"flop:  [J♦, A♥, K♣]",2020-12-17T21:46:21.878Z,160824158187900
"""Scott @ Ce3DFmEur5"" calls 0.12",2020-12-17T21:46:21.071Z,160824158107100
"""Dr. Hurst @ b7rmnGbpoR"" calls 0.12",2020-12-17T21:46:17.169Z,160824157717100
"""Michael @ Fer4N75h9y"" folds",2020-12-17T21:46:13.595Z,160824157359600
"""Kristo @ kcUm-oLUp-"" raises to 0.12",2020-12-17T21:46:10.599Z,160824157059900
"""Scott @ Ce3DFmEur5"" calls 0.04",2020-12-17T21:46:01.952Z,160824156195300
"""Dr. Hurst @ b7rmnGbpoR"" calls 0.04",2020-12-17T21:45:58.084Z,160824155808500
"""Michael @ Fer4N75h9y"" posts a big blind of 0.04",2020-12-17T21:45:52.748Z,160824155274907
"""Kristo @ kcUm-oLUp-"" posts a small blind of 0.02",2020-12-17T21:45:52.748Z,160824155274906
"Your hand is Q♠, 4♦",2020-12-17T21:45:52.748Z,160824155274904
"Player stacks: #1 ""Michael @ Fer4N75h9y"" (5.36) | #2 ""Dr. Hurst @ b7rmnGbpoR"" (3.97) | #9 ""Scott @ Ce3DFmEur5"" (3.06) | #10 ""Kristo @ kcUm-oLUp-"" (3.61)",2020-12-17T21:45:52.748Z,160824155274901
