entry,at,order
"""Kristo @ HZl0mGrMth"" posts a big blind of 0.10",2021-03-04T21:47:00.277Z,161489442027906
"""Dr Hurst @ b7rmnGbpoR"" posts a small blind of 0.05",2021-03-04T21:47:00.277Z,161489442027905
"Your hand is A♣, J♦",2021-03-04T21:47:00.277Z,161489442027903
"Player stacks: #2 ""Kristo @ HZl0mGrMth"" (12.50) | #8 ""Scott @ Ce3DFmEur5"" (9.70) | #10 ""Dr Hurst @ b7rmnGbpoR"" (7.80)",2021-03-04T21:47:00.277Z,161489442027901
"-- starting hand #69  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-03-04T21:47:00.277Z,161489442027900
"-- ending hand #68 --",2021-03-04T21:46:54.269Z,161489441427103
"""Dr Hurst @ b7rmnGbpoR"" shows a A♥, 6♠.",2021-03-04T21:46:54.269Z,161489441427102
"""Kristo @ HZl0mGrMth"" collected 2.10 from pot with Two Pair, J's & 9's (combination: J♣, J♦, 9♦, 9♠, 8♦)",2021-03-04T21:46:54.269Z,161489441427101
"""Kristo @ HZl0mGrMth"" shows a 9♦, 9♠.",2021-03-04T21:46:54.269Z,161489441427100
"""Kristo @ HZl0mGrMth"" calls 0.40",2021-03-04T21:46:53.459Z,161489441346000
"""Dr Hurst @ b7rmnGbpoR"" bets 0.40",2021-03-04T21:46:44.680Z,161489440468100
"River: 8♦, 2♥, J♣, J♦ [6♥]",2021-03-04T21:46:38.248Z,161489439825400
"""Scott @ Ce3DFmEur5"" folds",2021-03-04T21:46:37.440Z,161489439744100
"""Kristo @ HZl0mGrMth"" calls 0.20",2021-03-04T21:46:33.227Z,161489439322800
"""Dr Hurst @ b7rmnGbpoR"" bets 0.20",2021-03-04T21:46:29.002Z,161489438900300
"""Scott @ Ce3DFmEur5"" checks",2021-03-04T21:46:25.044Z,161489438504400
"Turn: 8♦, 2♥, J♣ [J♦]",2021-03-04T21:46:20.733Z,161489438073500
"""Dr Hurst @ b7rmnGbpoR"" calls 0.10",2021-03-04T21:46:19.925Z,161489437992600
"""Scott @ Ce3DFmEur5"" calls 0.10",2021-03-04T21:46:18.349Z,161489437835000
"""Kristo @ HZl0mGrMth"" bets 0.10",2021-03-04T21:46:13.914Z,161489437391500
"""Dr Hurst @ b7rmnGbpoR"" checks",2021-03-04T21:46:09.636Z,161489436963700
"""Scott @ Ce3DFmEur5"" checks",2021-03-04T21:46:07.753Z,161489436775400
"Flop:  [8♦, 2♥, J♣]",2021-03-04T21:46:03.627Z,161489436362800
"""Dr Hurst @ b7rmnGbpoR"" calls 0.20",2021-03-04T21:46:02.814Z,161489436281500
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-03-04T21:46:00.182Z,161489436018300
"""Kristo @ HZl0mGrMth"" raises to 0.20",2021-03-04T21:45:41.905Z,161489434190600
