entry,at,order
"The player ""Meg @ 4BdrrgRXbo"" quits the game with a stack of 0.00.",2021-02-06T21:41:20.087Z,161264768009200
"-- ending hand #71 --",2021-02-06T21:41:15.628Z,161264767563001
"""Scott @ Ce3DFmEur5"" collected 0.10 from pot with Pair, 6's (combination: 6♣, 6♥, Q♣, 9♦, 4♦)",2021-02-06T21:41:15.628Z,161264767563000
"River: 3♦, 4♦, Q♣, 6♥ [9♦]",2021-02-06T21:41:12.605Z,161264767260800
"Turn: 3♦, 4♦, Q♣ [6♥]",2021-02-06T21:41:09.587Z,161264766958900
"Flop:  [3♦, 4♦, Q♣]",2021-02-06T21:41:06.554Z,161264766655500
"""Meg @ 4BdrrgRXbo"" shows a A♣, 10♣.",2021-02-06T21:41:03.516Z,161264766351702
"""Scott @ Ce3DFmEur5"" shows a 2♠, 6♣.",2021-02-06T21:41:03.516Z,161264766351701
"Uncalled bet of 0.15 returned to ""Scott @ Ce3DFmEur5""",2021-02-06T21:41:03.516Z,161264766351700
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T21:41:02.700Z,161264766270200
"""Meg @ 4BdrrgRXbo"" posts a big blind of 0.05 and go all in ",2021-02-06T21:40:59.627Z,161264765962905
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.10",2021-02-06T21:40:59.627Z,161264765962904
"Your hand is 2♠, 6♣",2021-02-06T21:40:59.627Z,161264765962902
"Player stacks: #1 ""Scott @ Ce3DFmEur5"" (19.95) | #2 ""Meg @ 4BdrrgRXbo"" (0.05)",2021-02-06T21:40:59.627Z,161264765962901
"-- starting hand #71  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-02-06T21:40:59.627Z,161264765962900
"""Meg @ 4BdrrgRXbo"" shows a J♠, 3♣.",2021-02-06T21:40:57.133Z,161264765713400
"-- ending hand #70 --",2021-02-06T21:40:54.556Z,161264765455702
"""Scott @ Ce3DFmEur5"" collected 1.60 from pot with Two Pair, K's & 2's (combination: K♥, K♠, 2♣, 2♦, J♣)",2021-02-06T21:40:54.556Z,161264765455701
"""Scott @ Ce3DFmEur5"" shows a K♥, 3♠.",2021-02-06T21:40:54.556Z,161264765455700
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T21:40:53.744Z,161264765374500
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T21:40:52.026Z,161264765202700
"River: K♠, J♣, 5♥, 2♣ [2♦]",2021-02-06T21:40:47.970Z,161264764797300
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T21:40:47.147Z,161264764714800
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T21:40:45.435Z,161264764543600
"Turn: K♠, J♣, 5♥ [2♣]",2021-02-06T21:40:42.184Z,161264764218600
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T21:40:41.372Z,161264764137400
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T21:40:39.379Z,161264763937900
"Flop:  [K♠, J♣, 5♥]",2021-02-06T21:40:37.091Z,161264763709200
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T21:40:36.284Z,161264763628500
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T21:40:34.745Z,161264763474600
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.20",2021-02-06T21:40:32.612Z,161264763261305
"""Meg @ 4BdrrgRXbo"" posts a small blind of 0.10",2021-02-06T21:40:32.612Z,161264763261304
"Your hand is K♥, 3♠",2021-02-06T21:40:32.612Z,161264763261302
"Player stacks: #1 ""Scott @ Ce3DFmEur5"" (19.15) | #2 ""Meg @ 4BdrrgRXbo"" (0.85)",2021-02-06T21:40:32.612Z,161264763261301
"-- starting hand #70  (No Limit Texas Hold'em) (dealer: ""Meg @ 4BdrrgRXbo"") --",2021-02-06T21:40:32.612Z,161264763261300
"-- ending hand #69 --",2021-02-06T21:40:28.064Z,161264762806604
"""Meg @ 4BdrrgRXbo"" collected 0.85 from pot with Straight, Q High (combination: Q♦, J♠, 10♦, 9♣, 8♠)",2021-02-06T21:40:28.064Z,161264762806603
"""Meg @ 4BdrrgRXbo"" shows a 10♦, 3♦.",2021-02-06T21:40:28.064Z,161264762806602
"""Scott @ Ce3DFmEur5"" collected 0.85 from pot with Straight, Q High (combination: Q♦, J♠, 10♣, 9♣, 8♠)",2021-02-06T21:40:28.064Z,161264762806601
"""Scott @ Ce3DFmEur5"" shows a 4♥, 10♣.",2021-02-06T21:40:28.064Z,161264762806600
"""Meg @ 4BdrrgRXbo"" calls 0.45 and go all in",2021-02-06T21:40:27.259Z,161264762726000
"""Scott @ Ce3DFmEur5"" raises to 0.45",2021-02-06T21:40:24.645Z,161264762464600
"""Meg @ 4BdrrgRXbo"" bets 0.20",2021-02-06T21:40:17.882Z,161264761788300
"River: J♠, 8♠, Q♦, 9♣ [5♣]",2021-02-06T21:40:16.147Z,161264761614900
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T21:40:15.333Z,161264761533400
"""Meg @ 4BdrrgRXbo"" bets 0.20",2021-02-06T21:40:12.762Z,161264761276300
"Turn: J♠, 8♠, Q♦ [9♣]",2021-02-06T21:40:10.202Z,161264761020400
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T21:40:09.392Z,161264760939300
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T21:40:07.947Z,161264760794800
"Flop:  [J♠, 8♠, Q♦]",2021-02-06T21:40:04.372Z,161264760437300
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T21:40:03.561Z,161264760356200
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T21:40:00.769Z,161264760077000
"""Meg @ 4BdrrgRXbo"" posts a big blind of 0.20",2021-02-06T21:39:58.757Z,161264759875805
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.10",2021-02-06T21:39:58.757Z,161264759875804
"Your hand is 4♥, 10♣",2021-02-06T21:39:58.757Z,161264759875802
"Player stacks: #1 ""Scott @ Ce3DFmEur5"" (19.15) | #2 ""Meg @ 4BdrrgRXbo"" (0.85)",2021-02-06T21:39:58.757Z,161264759875801
"-- starting hand #69  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-02-06T21:39:58.757Z,161264759875800
"-- ending hand #68 --",2021-02-06T21:39:50.665Z,161264759066703
