entry,at,order
"The player ""Meg @ 4BdrrgRXbo"" quits the game with a stack of 0.00.",2021-02-06T12:03:46.609Z,161261302661800
"-- ending hand #102 --",2021-02-06T12:03:17.872Z,161261299787404
"""Meg @ 4BdrrgRXbo"" shows a 2♣, 8♠.",2021-02-06T12:03:17.872Z,161261299787403
"""Scott @ Ce3DFmEur5"" collected 3.20 from pot with Three of a Kind, K's (combination: K♣, K♠, K♦, J♠, 9♣)",2021-02-06T12:03:17.872Z,161261299787402
"""Scott @ Ce3DFmEur5"" shows a 3♣, K♣.",2021-02-06T12:03:17.872Z,161261299787401
"Uncalled bet of 0.60 returned to ""Scott @ Ce3DFmEur5""",2021-02-06T12:03:17.872Z,161261299787400
"""Scott @ Ce3DFmEur5"" raises to 1.80",2021-02-06T12:03:17.065Z,161261299706600
"""Meg @ 4BdrrgRXbo"" raises to 1.20 and go all in",2021-02-06T12:03:07.052Z,161261298705200
"""Scott @ Ce3DFmEur5"" bets 0.60",2021-02-06T12:02:59.054Z,161261297905400
"River: 9♣, K♠, 2♦, J♠ [K♦]",2021-02-06T12:02:52.559Z,161261297256200
"""Meg @ 4BdrrgRXbo"" checks",2021-02-06T12:02:51.753Z,161261297175300
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T12:02:48.613Z,161261296861400
"Turn: 9♣, K♠, 2♦ [J♠]",2021-02-06T12:02:38.324Z,161261295832500
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T12:02:37.517Z,161261295751900
"""Scott @ Ce3DFmEur5"" bets 0.20",2021-02-06T12:02:32.967Z,161261295296800
"Flop:  [9♣, K♠, 2♦]",2021-02-06T12:02:30.296Z,161261295029700
"""Scott @ Ce3DFmEur5"" checks",2021-02-06T12:02:29.489Z,161261294948900
"""Meg @ 4BdrrgRXbo"" calls 0.20",2021-02-06T12:02:26.919Z,161261294692000
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.20",2021-02-06T12:02:23.806Z,161261294380705
"""Meg @ 4BdrrgRXbo"" posts a small blind of 0.10",2021-02-06T12:02:23.806Z,161261294380704
"Your hand is 3♣, K♣",2021-02-06T12:02:23.806Z,161261294380703
"Player stacks: #1 ""Meg @ 4BdrrgRXbo"" (1.60) | #2 ""Scott @ Ce3DFmEur5"" (18.40)",2021-02-06T12:02:23.806Z,161261294380701
"-- starting hand #102  (No Limit Texas Hold'em) (dealer: ""Meg @ 4BdrrgRXbo"") --",2021-02-06T12:02:23.806Z,161261294380700
"""Meg @ 4BdrrgRXbo"" shows a A♦, A♥.",2021-02-06T12:02:20.172Z,161261294017300
"""Scott @ Ce3DFmEur5"" shows a 7♥, 9♦.",2021-02-06T12:02:19.756Z,161261293975700
"-- ending hand #101 --",2021-02-06T12:02:17.909Z,161261293791002
"""Meg @ 4BdrrgRXbo"" collected 0.80 from pot",2021-02-06T12:02:17.909Z,161261293791001
"Uncalled bet of 0.20 returned to ""Meg @ 4BdrrgRXbo""",2021-02-06T12:02:17.909Z,161261293791000
"""Scott @ Ce3DFmEur5"" folds",2021-02-06T12:02:17.101Z,161261293710200
"""Meg @ 4BdrrgRXbo"" bets 0.20",2021-02-06T12:02:10.141Z,161261293014200
"Flop:  [2♦, 3♥, 8♣]",2021-02-06T12:02:07.508Z,161261292750900
"""Scott @ Ce3DFmEur5"" calls 0.40",2021-02-06T12:02:06.695Z,161261292669600
"""Meg @ 4BdrrgRXbo"" raises to 0.40",2021-02-06T12:02:04.977Z,161261292497800
"""Scott @ Ce3DFmEur5"" calls 0.20",2021-02-06T12:02:01.121Z,161261292112200
"""Meg @ 4BdrrgRXbo"" posts a big blind of 0.20",2021-02-06T12:01:58.432Z,161261291843405
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.10",2021-02-06T12:01:58.432Z,161261291843404
"Your hand is 7♥, 9♦",2021-02-06T12:01:58.432Z,161261291843403
"Player stacks: #1 ""Meg @ 4BdrrgRXbo"" (1.20) | #2 ""Scott @ Ce3DFmEur5"" (18.80)",2021-02-06T12:01:58.432Z,161261291843401
"-- starting hand #101  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2021-02-06T12:01:58.432Z,161261291843400
"-- ending hand #100 --",2021-02-06T12:01:51.938Z,161261291194003
"""Scott @ Ce3DFmEur5"" shows a 3♠, 6♥.",2021-02-06T12:01:51.938Z,161261291194002
