entry,at,order
"""Blowen @ Y1Q6ty6Yvq"" posts a big blind of 0.20",2020-12-21T22:01:40.618Z,160858810061906
"""Bees? @ COcCB7d7q3"" posts a small blind of 0.10",2020-12-21T22:01:40.618Z,160858810061905
"Your hand is 6♣, 7♥",2020-12-21T22:01:40.618Z,160858810061904
"Player stacks: #1 ""Bees? @ COcCB7d7q3"" (26.27) | #3 ""Blowen @ Y1Q6ty6Yvq"" (17.53) | #8 ""Scott @ Ce3DFmEur5"" (28.35)",2020-12-21T22:01:40.618Z,160858810061901
"-- starting hand #55  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2020-12-21T22:01:40.618Z,160858810061900
"""Bees? @ COcCB7d7q3"" shows a 8♣, A♣.",2020-12-21T22:01:31.263Z,160858809126400
"""Blowen @ Y1Q6ty6Yvq"" shows a 2♥, Q♠.",2020-12-21T22:01:06.785Z,160858806678500
"Undealt cards: 10♥, 10♣, 6♠, J♠ [4♠]",2020-12-21T22:01:03.482Z,160858806348700
"-- ending hand #54 --",2020-12-21T22:01:01.982Z,160858806198302
"""Blowen @ Y1Q6ty6Yvq"" collected 3.20 from pot",2020-12-21T22:01:01.982Z,160858806198301
"Uncalled bet of 1.00 returned to ""Blowen @ Y1Q6ty6Yvq""",2020-12-21T22:01:01.982Z,160858806198300
"""Bees? @ COcCB7d7q3"" folds",2020-12-21T22:01:01.169Z,160858806116900
"""Blowen @ Y1Q6ty6Yvq"" bets 1.00",2020-12-21T22:00:53.963Z,160858805396400
"""Bees? @ COcCB7d7q3"" checks",2020-12-21T22:00:46.365Z,160858804636600
"Turn: 10♥, 10♣, 6♠ [J♠]",2020-12-21T22:00:43.243Z,160858804324500
"""Bees? @ COcCB7d7q3"" calls 1.00",2020-12-21T22:00:42.437Z,160858804243800
"""Blowen @ Y1Q6ty6Yvq"" raises to 1.00",2020-12-21T22:00:35.622Z,160858803562300
"""Bees? @ COcCB7d7q3"" bets 0.50",2020-12-21T22:00:31.936Z,160858803193700
"Flop:  [10♥, 10♣, 6♠]",2020-12-21T22:00:23.443Z,160858802344400
"""Scott @ Ce3DFmEur5"" folds",2020-12-21T22:00:22.633Z,160858802263400
"""Blowen @ Y1Q6ty6Yvq"" calls 0.50",2020-12-21T22:00:19.401Z,160858801940200
"""Bees? @ COcCB7d7q3"" raises to 0.50",2020-12-21T22:00:13.493Z,160858801349400
"""Scott @ Ce3DFmEur5"" calls 0.20",2020-12-21T22:00:04.228Z,160858800422900
"""Blowen @ Y1Q6ty6Yvq"" calls 0.20",2020-12-21T22:00:02.226Z,160858800223000
"""Bees? @ COcCB7d7q3"" posts a big blind of 0.20",2020-12-21T21:59:58.643Z,160858799864406
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.10",2020-12-21T21:59:58.643Z,160858799864405
"Your hand is J♦, 3♣",2020-12-21T21:59:58.643Z,160858799864404
"Player stacks: #1 ""Bees? @ COcCB7d7q3"" (27.77) | #3 ""Blowen @ Y1Q6ty6Yvq"" (15.83) | #8 ""Scott @ Ce3DFmEur5"" (28.55)",2020-12-21T21:59:58.643Z,160858799864401
"-- starting hand #54  (No Limit Texas Hold'em) (dealer: ""Blowen @ Y1Q6ty6Yvq"") --",2020-12-21T21:59:58.643Z,160858799864400
"Undealt cards: Q♦, 5♣, 4♣ [8♥, 2♠]",2020-12-21T21:59:54.207Z,160858799421000
"-- ending hand #53 --",2020-12-21T21:59:52.738Z,160858799273902
"""Blowen @ Y1Q6ty6Yvq"" collected 0.40 from pot",2020-12-21T21:59:52.738Z,160858799273901
"Uncalled bet of 0.20 returned to ""Blowen @ Y1Q6ty6Yvq""",2020-12-21T21:59:52.738Z,160858799273900
"""Scott @ Ce3DFmEur5"" folds",2020-12-21T21:59:51.930Z,160858799193100
"""Blowen @ Y1Q6ty6Yvq"" bets 0.20",2020-12-21T21:59:45.853Z,160858798585500
"Flop:  [Q♦, 5♣, 4♣]",2020-12-21T21:59:34.410Z,160858797441100
"""Scott @ Ce3DFmEur5"" checks",2020-12-21T21:59:33.604Z,160858797360400
"""Blowen @ Y1Q6ty6Yvq"" calls 0.20",2020-12-21T21:59:31.547Z,160858797154800
"""Bees? @ COcCB7d7q3"" folds",2020-12-21T21:59:29.077Z,160858796907700
"""Scott @ Ce3DFmEur5"" posts a big blind of 0.20",2020-12-21T21:59:22.333Z,160858796233406
"""Blowen @ Y1Q6ty6Yvq"" posts a small blind of 0.10",2020-12-21T21:59:22.333Z,160858796233405
"Your hand is K♠, 6♣",2020-12-21T21:59:22.333Z,160858796233404
"Player stacks: #1 ""Bees? @ COcCB7d7q3"" (27.77) | #3 ""Blowen @ Y1Q6ty6Yvq"" (15.63) | #8 ""Scott @ Ce3DFmEur5"" (28.75)",2020-12-21T21:59:22.333Z,160858796233401
"-- starting hand #53  (No Limit Texas Hold'em) (dealer: ""Bees? @ COcCB7d7q3"") --",2020-12-21T21:59:22.333Z,160858796233400
"-- ending hand #52 --",2020-12-21T21:59:19.425Z,160858795942602
"""Blowen @ Y1Q6ty6Yvq"" collected 1.20 from pot",2020-12-21T21:59:19.425Z,160858795942601
"Uncalled bet of 0.54 returned to ""Blowen @ Y1Q6ty6Yvq""",2020-12-21T21:59:19.425Z,160858795942600
"""Bees? @ COcCB7d7q3"" folds",2020-12-21T21:59:18.617Z,160858795861800
"""Blowen @ Y1Q6ty6Yvq"" bets 0.54",2020-12-21T21:58:50.899Z,160858793090000
"""Bees? @ COcCB7d7q3"" checks",2020-12-21T21:58:39.089Z,160858791909000
"River: 9♠, 2♣, 10♠, K♦ [8♠]",2020-12-21T21:58:29.689Z,160858790969200
"""Bees? @ COcCB7d7q3"" calls 0.20",2020-12-21T21:58:28.882Z,160858790888300
"""Blowen @ Y1Q6ty6Yvq"" bets 0.20",2020-12-21T21:58:26.940Z,160858790694100
"""Bees? @ COcCB7d7q3"" checks",2020-12-21T21:58:24.727Z,160858790472700
"Turn: 9♠, 2♣, 10♠ [K♦]",2020-12-21T21:58:22.164Z,160858790216600
"""Blowen @ Y1Q6ty6Yvq"" calls 0.20",2020-12-21T21:58:21.356Z,160858790135700
"""Bees? @ COcCB7d7q3"" bets 0.20",2020-12-21T21:58:19.483Z,160858789948400
"Flop:  [9♠, 2♣, 10♠]",2020-12-21T21:58:15.569Z,160858789557000
"""Blowen @ Y1Q6ty6Yvq"" checks",2020-12-21T21:58:14.762Z,160858789476400
"""Bees? @ COcCB7d7q3"" calls 0.20",2020-12-21T21:58:12.588Z,160858789258900
"""Scott @ Ce3DFmEur5"" folds",2020-12-21T21:58:08.651Z,160858788865100
"""Blowen @ Y1Q6ty6Yvq"" posts a big blind of 0.20",2020-12-21T21:58:04.984Z,160858788498506
"""Bees? @ COcCB7d7q3"" posts a small blind of 0.10",2020-12-21T21:58:04.984Z,160858788498505
"Your hand is 3♠, J♦",2020-12-21T21:58:04.984Z,160858788498504
"Player stacks: #1 ""Bees? @ COcCB7d7q3"" (28.37) | #3 ""Blowen @ Y1Q6ty6Yvq"" (15.03) | #8 ""Scott @ Ce3DFmEur5"" (28.75)",2020-12-21T21:58:04.984Z,160858788498501
"-- starting hand #52  (No Limit Texas Hold'em) (dealer: ""Scott @ Ce3DFmEur5"") --",2020-12-21T21:58:04.984Z,160858788498500
"Undealt cards: 4♦, 5♥, 9♥ [10♣, A♥]",2020-12-21T21:58:00.311Z,160858788031600
"-- ending hand #51 --",2020-12-21T21:57:59.079Z,160858787908002
"""Scott @ Ce3DFmEur5"" collected 0.60 from pot",2020-12-21T21:57:59.079Z,160858787908001
"Uncalled bet of 0.20 returned to ""Scott @ Ce3DFmEur5""",2020-12-21T21:57:59.079Z,160858787908000
"""Blowen @ Y1Q6ty6Yvq"" folds",2020-12-21T21:57:58.271Z,160858787827400
"""Bees? @ COcCB7d7q3"" folds",2020-12-21T21:57:33.705Z,160858785370500
"""Scott @ Ce3DFmEur5"" bets 0.20",2020-12-21T21:57:19.860Z,160858783986100
"Flop:  [4♦, 5♥, 9♥]",2020-12-21T21:57:14.287Z,160858783428800
"""Bees? @ COcCB7d7q3"" checks",2020-12-21T21:57:13.482Z,160858783348300
"""Scott @ Ce3DFmEur5"" calls 0.20",2020-12-21T21:57:05.225Z,160858782522600
"""Blowen @ Y1Q6ty6Yvq"" calls 0.20",2020-12-21T21:56:59.756Z,160858781975700
"""Bees? @ COcCB7d7q3"" posts a big blind of 0.20",2020-12-21T21:56:55.966Z,160858781596706
"""Scott @ Ce3DFmEur5"" posts a small blind of 0.10",2020-12-21T21:56:55.966Z,160858781596705
"Your hand is K♠, K♣",2020-12-21T21:56:55.966Z,160858781596704
"Player stacks: #1 ""Bees? @ COcCB7d7q3"" (28.57) | #3 ""Blowen @ Y1Q6ty6Yvq"" (15.23) | #8 ""Scott @ Ce3DFmEur5"" (28.35)",2020-12-21T21:56:55.966Z,160858781596701
"-- starting hand #51  (No Limit Texas Hold'em) (dealer: ""Blowen @ Y1Q6ty6Yvq"") --",2020-12-21T21:56:55.966Z,160858781596700
"-- ending hand #50 --",2020-12-21T21:56:49.928Z,160858780993003
"""Blowen @ Y1Q6ty6Yvq"" shows a 3♦, 10♣.",2020-12-21T21:56:49.928Z,160858780993002
"""Scott @ Ce3DFmEur5"" collected 2.80 from pot with Pair, K's (combination: K♣, K♠, Q♣, J♥, 5♠)",2020-12-21T21:56:49.928Z,160858780993001
"""Scott @ Ce3DFmEur5"" shows a K♣, 2♦.",2020-12-21T21:56:49.928Z,160858780993000
"""Scott @ Ce3DFmEur5"" calls 0.80",2020-12-21T21:56:49.119Z,160858780912000
"""Blowen @ Y1Q6ty6Yvq"" bets 0.80",2020-12-21T21:56:43.562Z,160858780356300
"River: Q♣, J♥, K♠, 5♠ [4♥]",2020-12-21T21:56:33.559Z,160858779356500
"""Scott @ Ce3DFmEur5"" calls 0.20",2020-12-21T21:56:32.748Z,160858779274800
"""Blowen @ Y1Q6ty6Yvq"" bets 0.20",2020-12-21T21:56:29.589Z,160858778959000
"Turn: Q♣, J♥, K♠ [5♠]",2020-12-21T21:56:26.867Z,160858778687200
"""Scott @ Ce3DFmEur5"" calls 0.20",2020-12-21T21:56:26.040Z,160858778604200
"""Blowen @ Y1Q6ty6Yvq"" bets 0.20",2020-12-21T21:56:23.944Z,160858778394500
"Flop:  [Q♣, J♥, K♠]",2020-12-21T21:56:17.151Z,160858777715200
"""Scott @ Ce3DFmEur5"" checks",2020-12-21T21:56:16.346Z,160858777634600
