entry,at,order
"""Scottyboi @ Ce3DFmEur5"" posts a big blind of 0.20",2020-11-16T21:16:07.721Z,160556136772206
"""LitUpLuke @ Y1Q6ty6Yvq"" posts a small blind of 0.10",2020-11-16T21:16:07.721Z,160556136772205
"Your hand is Q♣, 5♥",2020-11-16T21:16:07.721Z,160556136772204
"Player stacks: #1 ""Chris @ 1pDWm6PMkX"" (10.90) | #4 ""LitUpLuke @ Y1Q6ty6Yvq"" (22.20) | #8 ""Scottyboi @ Ce3DFmEur5"" (26.90)",2020-11-16T21:16:07.721Z,160556136772201
"-- starting hand #62  (No Limit Texas Hold'em) (dealer: ""Chris @ 1pDWm6PMkX"") --",2020-11-16T21:16:07.721Z,160556136772100
"-- ending hand #61 --",2020-11-16T21:15:56.552Z,160556135655302
"""Chris @ 1pDWm6PMkX"" collected 5.40 from pot with Full House, 6's over 10's (combination: 6♦, 6♣, 6♠, 10♦, 10♣)",2020-11-16T21:15:56.552Z,160556135655301
"""Chris @ 1pDWm6PMkX"" shows a 10♦, 6♦.",2020-11-16T21:15:56.552Z,160556135655300
"""Scottyboi @ Ce3DFmEur5"" calls 0.80",2020-11-16T21:15:55.730Z,160556135573100
"""LitUpLuke @ Y1Q6ty6Yvq"" calls 0.80",2020-11-16T21:15:52.283Z,160556135228400
"""Chris @ 1pDWm6PMkX"" bets 0.80",2020-11-16T21:15:49.043Z,160556134904400
"river: 6♣, 9♥, 6♠, 10♣ [J♥]",2020-11-16T21:15:43.924Z,160556134393000
"""Scottyboi @ Ce3DFmEur5"" calls 0.60",2020-11-16T21:15:43.117Z,160556134311800
"""LitUpLuke @ Y1Q6ty6Yvq"" calls 0.60",2020-11-16T21:15:41.535Z,160556134153600
"""Chris @ 1pDWm6PMkX"" bets 0.60",2020-11-16T21:15:37.624Z,160556133762500
"turn: 6♣, 9♥, 6♠ [10♣]",2020-11-16T21:15:32.956Z,160556133295800
"""Scottyboi @ Ce3DFmEur5"" calls 0.20",2020-11-16T21:15:32.145Z,160556133214800
"""LitUpLuke @ Y1Q6ty6Yvq"" calls 0.20",2020-11-16T21:15:30.652Z,160556133065300
"""Chris @ 1pDWm6PMkX"" bets 0.20",2020-11-16T21:15:19.402Z,160556131941600
"flop:  [6♣, 9♥, 6♠]",2020-11-16T21:15:13.755Z,160556131375600
"""LitUpLuke @ Y1Q6ty6Yvq"" checks",2020-11-16T21:15:12.950Z,160556131295000
"""Chris @ 1pDWm6PMkX"" calls 0.20",2020-11-16T21:15:05.430Z,160556130543000
"""Scottyboi @ Ce3DFmEur5"" calls 0.20",2020-11-16T21:15:01.670Z,160556130167000
"""LitUpLuke @ Y1Q6ty6Yvq"" posts a big blind of 0.20",2020-11-16T21:14:57.797Z,160556129779806
"""Chris @ 1pDWm6PMkX"" posts a small blind of 0.10",2020-11-16T21:14:57.797Z,160556129779805
"Your hand is 10♠, 7♣",2020-11-16T21:14:57.797Z,160556129779804
"Player stacks: #1 ""Chris @ 1pDWm6PMkX"" (7.30) | #4 ""LitUpLuke @ Y1Q6ty6Yvq"" (24.00) | #8 ""Scottyboi @ Ce3DFmEur5"" (28.70)",2020-11-16T21:14:57.797Z,160556129779801
"-- starting hand #61  (No Limit Texas Hold'em) (dealer: ""Scottyboi @ Ce3DFmEur5"") --",2020-11-16T21:14:57.797Z,160556129779800
"-- ending hand #60 --",2020-11-16T21:14:54.887Z,160556129488802
"""Scottyboi @ Ce3DFmEur5"" collected 0.60 from pot",2020-11-16T21:14:54.887Z,160556129488801
"Uncalled bet of 0.40 returned to ""Scottyboi @ Ce3DFmEur5""",2020-11-16T21:14:54.887Z,160556129488800
"""LitUpLuke @ Y1Q6ty6Yvq"" folds",2020-11-16T21:14:54.081Z,160556129408200
"""Chris @ 1pDWm6PMkX"" folds",2020-11-16T21:14:46.603Z,160556128660400
"""Scottyboi @ Ce3DFmEur5"" bets 0.40",2020-11-16T21:14:39.547Z,160556127954800
"flop:  [5♦, A♦, 10♣]",2020-11-16T21:14:33.480Z,160556127348100
"""Chris @ 1pDWm6PMkX"" checks",2020-11-16T21:14:32.670Z,160556127267100
"""Scottyboi @ Ce3DFmEur5"" calls 0.20",2020-11-16T21:14:26.601Z,160556126660100
"""LitUpLuke @ Y1Q6ty6Yvq"" calls 0.20",2020-11-16T21:14:24.982Z,160556126498300
"""Chris @ 1pDWm6PMkX"" posts a big blind of 0.20",2020-11-16T21:14:21.107Z,160556126110806
"""Scottyboi @ Ce3DFmEur5"" posts a small blind of 0.10",2020-11-16T21:14:21.107Z,160556126110805
"Your hand is A♥, 3♦",2020-11-16T21:14:21.107Z,160556126110804
"Player stacks: #1 ""Chris @ 1pDWm6PMkX"" (7.50) | #4 ""LitUpLuke @ Y1Q6ty6Yvq"" (24.20) | #8 ""Scottyboi @ Ce3DFmEur5"" (28.30)",2020-11-16T21:14:21.107Z,160556126110801
"-- starting hand #60  (No Limit Texas Hold'em) (dealer: ""LitUpLuke @ Y1Q6ty6Yvq"") --",2020-11-16T21:14:21.107Z,160556126110800
"-- ending hand #59 --",2020-11-16T21:14:18.188Z,160556125818902
"""LitUpLuke @ Y1Q6ty6Yvq"" collected 1.00 from pot",2020-11-16T21:14:18.188Z,160556125818901
"Uncalled bet of 0.20 returned to ""LitUpLuke @ Y1Q6ty6Yvq""",2020-11-16T21:14:18.188Z,160556125818900
"""Scottyboi @ Ce3DFmEur5"" folds",2020-11-16T21:14:17.382Z,160556125738300
"""LitUpLuke @ Y1Q6ty6Yvq"" bets 0.20",2020-11-16T21:14:09.361Z,160556124936200
"turn: 2♠, 4♦, 5♥ [Q♥]",2020-11-16T21:14:04.411Z,160556124441300
"""Chris @ 1pDWm6PMkX"" folds",2020-11-16T21:14:03.602Z,160556124360300
"""Scottyboi @ Ce3DFmEur5"" calls 0.20",2020-11-16T21:14:01.764Z,160556124176400
"""LitUpLuke @ Y1Q6ty6Yvq"" bets 0.20",2020-11-16T21:13:57.249Z,160556123725000
"flop:  [2♠, 4♦, 5♥]",2020-11-16T21:13:49.841Z,160556122984200
"""Scottyboi @ Ce3DFmEur5"" checks",2020-11-16T21:13:49.020Z,160556122902100
"""LitUpLuke @ Y1Q6ty6Yvq"" calls 0.20",2020-11-16T21:13:45.941Z,160556122594200
"""Chris @ 1pDWm6PMkX"" calls 0.20",2020-11-16T21:13:39.589Z,160556121958900
"""Scottyboi @ Ce3DFmEur5"" posts a big blind of 0.20",2020-11-16T21:13:34.633Z,160556121463406
"""LitUpLuke @ Y1Q6ty6Yvq"" posts a small blind of 0.10",2020-11-16T21:13:34.633Z,160556121463405
"Your hand is 4♠, J♣",2020-11-16T21:13:34.633Z,160556121463404
